number,type
114,intel xeon x5690
58,intel core i5-3470
57,intel core i7-6700
54,intel core i7-4790
54,intel core i7-3770
52,amd ryzen 7 2700x
52,intel core i3-2100
51,intel core i7-2600
50,intel core i7-4770
49,intel core i5-2400
48,intel core i7-7700k
46,intel core i3-3220
44,intel xeon x5650
44,intel core i7-4790k
42,intel core i5-750
42,intel core 2 duo e8400
42,intel core i5-650
41,intel core i3-2120
41,intel core i5-6500
36,amd fx-6300
35,intel core i7-6700k
34,intel core i5-3570
34,amd fx-8350
33,intel core i9-9900k
32,amd fx-4100
32,intel core i5-4590
31,intel xeon x5670
31,amd ryzen 7 3700x
30,amd athlon x4 840
29,intel core i7-8700k
29,intel pentium e5200
29,amd ryzen 5 2600
29,intel xeon e5-1620
28,intel xeon e5-2670
28,amd a10-5700
28,intel core i3-3240
28,amd fx-4300
27,amd phenom ii x4 955
27,intel core i5-4570
27,intel core i7-2600k
27,intel core i5-2500k
27,amd ryzen 9 3900x
26,intel xeon e5-1620 v2
26,amd ryzen 5 1600
26,intel core 2 duo e7200
25,intel xeon e5-2650 v2
25,amd a8-5500
25,amd ryzen 5 3600
25,intel core i5-4690k
24,intel core 2 duo e7500
24,amd a10-5800k
24,intel core i7-7700
24,amd a8-6500
23,intel pentium e2140
23,amd a4-5300
23,amd fx-6100
23,intel pentium g3220
23,amd ryzen 5 3600x
23,intel pentium iii
23,amd phenom ii
23,intel core i7-920
23,amd phenom ii x4 965
23,amd ryzen 3 2200g
22,amd ryzen 5 5600x
22,intel xeon e5-2650
22,intel xeon e5-2620
22,intel core i5-6600
22,amd phenom ii x6 1055t
22,intel core i3-540
22,intel core i5-2500
21,intel core i3-2100t
21,intel core i7-870
21,intel core i7-860
21,amd athlon ii x2 280
21,intel core 2 quad q9300
21,amd fx-9590
21,intel core i5-3330
20,intel core 2 quad q6600
20,intel xeon e5-2630
20,intel core 2 quad q8200
20,amd phenom ii x3 710
20,intel core i3-4130
20,amd a8-6600k
19,intel core i3-530
19,intel xeon e5-1620 v3
19,intel core i5-3570k
19,intel core i7-9700k
19,amd ryzen 7 5800x
19,intel xeon e5-2620 v2
19,amd a6-6400k
18,intel xeon e5640
18,intel xeon x5675
18,intel core 2 duo e8500
18,intel core i7-5820k
18,amd athlon ii x2 215
18,amd athlon ii x2 240
18,intel xeon e5-620
18,amd athlon 64
18,amd athlon ii x4 630
17,intel xeon e5-2690
17,intel xeon e5-2690 v4
17,intel core i7-4770k
17,intel core i5-6500t
17,amd ryzen 3 1200
17,intel xeon e5-2640
17,intel xeon x5680
17,amd phenom ii x4 945
17,intel xeon e5-2620 v4
17,amd ryzen 5 2600x
17,intel xeon gold 5218r
17,intel core 2 duo e6550
17,amd ryzen 5 1400
16,intel pentium g2030
16,intel core i5-4690
16,amd a6-3500
16,amd a8-7600
16,amd fx-8150
16,intel core i5-7500
16,intel core i5-4460
16,amd ryzen 7 1700
16,intel xeon e5-2670 v2
16,amd k6-2
16,amd athlon x4 750k
15,intel core i7-6700t
15,amd athlon ii x2 250
15,intel xeon e5-2690 v3
15,intel pentium g2010
15,amd ryzen 7 1700x
15,intel xeon e5-2697 v2
14,amd ryzen 5 2400g
14,intel xeon e5-2665
14,intel xeon e5-2640 v3
14,amd ryzen 5 1600x
14,intel core i5-4670k
14,intel core i7-950
14,amd fx-4100 fx-4130 fx-4300 fx-4350
14,intel pentium g4400
14,amd a4-3300
14,intel xeon e5-645
14,intel core i5-760
14,intel xeon e5-2640 v4
14,intel xeon e5-1650 v2
14,intel core 2 duo e4300
14,intel core i7-3770k
14,amd a10-7850k
13,intel xeon e5-2603 v3
13,intel xeon e5-2630 v3
13,amd athlon x4 760k
13,intel core i5-7400
13,intel core i3-6100t
13,intel xeon x5660
13,amd fx-8320
13,intel xeon e5-2630 v4
13,intel xeon e5-2630 v2
13,amd phenom ii x6 1045t
13,amd a4-6300
13,intel core 2 extreme qx6700
13,amd fx-8120
13,intel core i5-540m
13,intel core i7-6950x
13,amd a10-7800
13,amd athlon x4 870k
13,amd fx-8300
13,intel core 2 quad q9400
13,amd opteron 6378
13,amd a8-3870k
13,intel core i3-550
13,intel xeon e5-2660
13,amd athlon ii x2 235e
13,amd a8-5600k
13,intel pentium e5300
13,amd ryzen 3 3200g
12,amd fx
12,intel xeon l5640
12,intel core i5-6400
12,intel core i7-3770s
12,amd a10-6700
12,amd a4-7300
12,amd athlon ii x4 620
12,intel core i7-930
12,intel xeon e5-2470v2
12,intel xeon gold 6146
12,intel xeon e5-2680 v4
12,intel core i5-2400s
12,intel xeon e3-1220 v3
12,intel xeon e3-1220 v2
12,intel core i5-2300
12,intel xeon e5-2660 v2
12,intel xeon e3-1230 v2
12,amd athlon 64 x2
12,intel core i3-4160
11,amd a10-7860k
11,intel core i5-8500
11,intel xeon e5-2690 v2
11,intel core i5-4570t
11,intel pentium g840
11,intel xeon e5-2680 v2
11,intel xeon e5-1650 v4
11,intel xeon e5-2603 v2
11,intel xeon e5-2680
11,intel xeon e5-2697 v4
11,amd ryzen 3 1300x
11,intel xeon e5-2699 v3
11,amd athlon
11,amd athlon ii x4 640
11,intel xeon e5-2650 v4
11,amd a6-9500
11,intel core i5-4430
11,intel pentium g2020
11,amd ryzen 5 3400g
11,amd a6-3650
10,amd athlon x4 860k
10,intel core i5-2520m
10,intel pentium mmx
10,intel xeon e5-1603
10,intel core i5-3470s
10,intel pentium e5400
10,intel xeon e5-1650 v3
10,amd phenom ii x2 550
10,intel pentium g630
10,amd athlon ii x4 635
10,intel core i5-8600k
10,amd athlon 64 3500+
10,amd ryzen threadripper 1950x
10,amd amd-k6-2
10,intel xeon e5-2699 v4
10,amd phenom x4 9750
10,amd a8-3850
10,amd a6-5400k
10,amd ryzen threadripper 1920x
10,intel core i5-8400
10,intel core 2 duo e8200
10,intel xeon x3430
10,intel core 2 duo e6400
10,intel xeon x5460
10,intel core i7-8700
10,intel core 2 quad q9550
10,intel xeon x5677
9,intel pentium e2160
9,intel xeon e5-2680 v3
9,intel xeon e5-2670 v3
9,intel xeon e3
9,intel xeon e5645
9,intel core i5-6600k
9,intel core i3-4170
9,intel core i5-2320
9,intel core i3-2125
9,intel core i5-7600k
9,intel core i7-4771
9,intel xeon e5-2650 v3
9,intel core 2 duo e7400
9,amd phenom ii x6 1035t
9,intel xeon e5-2637 v2
9,intel xeon e5-2640 v2
9,amd athlon ii x2 245
9,intel xeon e5-2609 v2
8,intel xeon e5-2660 v4
8,amd a6-4400m
8,amd fx-8100 8120 8150
8,amd athlon xp
8,intel core i3-2120t
8,amd a4-3400
8,intel xeon e5-2620 v3
8,intel xeon e5-4650
8,amd ryzen 7 1800x
8,amd fx-8320e
8,amd ryzen 7 2700
8,intel core 2 quad q9550s
8,intel xeon e5-2430v2
8,intel core i5-3550
8,intel core 2 quad q8300
8,amd phenom ii x4 840
8,intel core i5-3450
8,amd phenom ii x6 1100t
8,intel core i3-4150
8,intel xeon e5-2637 v4
8,intel core i7-4960x
8,intel xeon e5-2667 v3
8,intel core i7-4790s
8,intel xeon e3-1240 v2
8,amd sempron 140
8,intel core i7-4820k
8,intel core i7-8700t
8,intel xeon e5-2683 v4
8,amd fx-4130
8,intel xeon e5-2695 v2
8,intel core i7-4930k
8,amd ryzen 9 3950x
8,intel xeon e3-1270 v5
8,amd ryzen 3 3100
8,intel core i3-7100
7,intel pentium g2120
7,intel core i7-3960x
7,intel core i7-6800k
7,intel core i7-975
7,intel pentium g3258
7,amd phenom ii x6 1090t
7,intel core i9-7900x
7,intel core i5-6600t
7,intel core i5-9600k
7,intel core i5-4570s
7,amd phenom ii x4 820
7,intel core i7-2600s
7,intel pentium e2180
7,amd ryzen 7 3800x
7,intel xeon e3-1230
7,amd a8-7650k
7,intel core 2 duo e4500
7,intel xeon e5-2609
7,amd athlon ii x4 645
7,amd athlon ii x4
7,intel core 2 duo e6750
7,amd athlon ii x2 260
7,intel xeon e5-2643 v2
7,intel xeon e3-1240 v5
7,intel xeon e5-2660 v3
7,intel core 2 duo e7600
7,intel xeon e5-2683 v3
7,intel xeon e3-1231 v3
7,intel xeon e5-2687w
7,intel xeon e5-2695 v4
7,intel core 2 duo e4400
7,intel pentium ii
7,intel xeon x5687
7,amd fx-6350
7,amd a10-7700k
7,amd fx-8100
7,intel xeon x3450
6,intel core i7-720qm
6,intel core i7-5775c
6,amd athlon ii x2 270
6,amd a10-6800k
6,intel xeon e5-2623 v3
6,intel core i7-740qm
6,intel xeon e5-2643 v3
6,intel xeon e5-2609 v3
6,amd a10-6790k
6,intel xeon e5-2603
6,intel xeon e5-2470
6,intel xeon e5-2450v2
6,intel core i7-7800x
6,intel core 2 duo e4600
6,intel core i5-520m
6,amd a10-9700
6,intel core i3-3225
6,amd ryzen 5 1500x
6,intel core i5-660
6,amd ryzen 9 3900xt
6,intel core i3-4160t
6,amd a8-7500
6,intel core 2 duo t9600
6,intel xeon e5-2698 v4
6,amd a6-3600
6,amd r5-5600x
6,intel core 2 duo e8600
6,intel core i3-2310m
6,amd athlon ii 260u
6,intel xeon e5-2683 v4 es
6,amd phenom ii x4 840t
6,intel core i7-3820
6,amd athlon 64 3800+
6,intel core i5-8500t
6,intel core i3-2130
6,intel xeon w-2150b
6,amd ryzen3_1200
6,intel pentium g620
6,amd phenom ii x6 1075t
6,intel xeon e3-1271 v3
6,intel pentium e5700
6,intel pentium e2200
6,intel core i5-4440
6,amd epyc 7f72
6,intel core i7-990x
6,amd fx-4170
6,intel core i5-4670
6,intel core i5-2310
6,amd fx-6200
6,amd_athlon-3000g
6,amd phenom ii x3 720
6,intel xeon e3-1225 v3
6,amd epyc 7601
6,intel pentium g850
6,intel core i7-880
6,intel xeon e5-2420 v2
6,intel xeon 6152
6,intel core i3-6300
6,intel xeon e5-2407
6,intel pentium e5800
5,intel xeon e5-2697 v3
5,amd ryzen 9 5900x
5,amd opteron 6272
5,intel xeon e5-2695 v3
5,intel xeon e3-1220 v5
5,intel core i7-2630qm
5,intel xeon e3-1225
5,amd epyc 7261
5,intel xeon e3-1230 v5
5,intel xeon e3-1220
5,intel xeon e5450
5,amd a8-9600
5,intel xeon 5160
5,amd-k6-2
5,amd athlon 64 x2 3800+
5,intel core i3-3220t
5,intel core i5-8600
5,intel xeon platinum 8180
5,intel xeon silver 4114
5,intel xeon silver 4210
5,intel xeon w-2140b
5,intel core i5-7500t
5,amd a10-7870k
5,intel pentium g3250
5,intel xeon x5570
5,amd fx-8370e
5,intel core i9-7980xe
5,intel xeon e5-2430
5,intel core i3-560
5,intel core i7-9700kf
5,intel core i7-5930k
5,intel xeon e3-1265l v2
5,amd athlon 64 x2 4400+
5,intel core i5-3350p
5,intel core 2 duo e6420
5,intel xeon e3-1270
5,intel xeon e3-1270 v2
5,intel core i7-6850k
5,intel xeon e5-2609 v4
5,intel xeon e3-1275
5,amd athlon xp 2000+
5,intel core i7-940
5,intel core i3-8350k
5,intel core i3-8100
5,intel core 2 duo e6300
5,amd phenom ii x4 925
5,amd athlon x4 730
5,intel xeon e5-2643
5,intel xeon e5-2630l v3
5,amdryzen7_2700
5,amd sempron 145
5,amd athlon 64 x2 4800+
5,amd phenom x4 9650
5,intel xeon e5-2667 v2
5,intel core i9-7940x
5,intel xeon e5-2667
5,amd phenom x4 9150e
5,intel core i5-4590s
5,intel xeon e5-2650l v2
5,amd ryzen threadripper 1900x
5,amd athlon ii x2 220
4,intel core i5-4440s
4,intel
4,amd sempron 3000
4,intel core 2 quad q8400
4,intel core i5-3330s
4,intel core i3-370m
4,intel core i5-3320m
4,intel core i3-350m
4,intel core 2 duo e6600
4,intel core i5-10400f
4,intel core 2 quad q6700
4,intel core i5-4200m
4,intel core 2 quad q9650
4,intel core i3-4330
4,intel core i5-4590t
4,intel core 2 duo e7300
4,intel core i3-3120m
4,intel core i3-4170t
4,intel core i5-3230m
4,intel core 2 duo t9300
4,intel core i5-6400t
4,intel core i3-4330te
4,intel core 2 duo e6850
4,intel xeon x7560
4,intel pentium g4560
4,amd athlon 64 3200+
4,intel core i9-9900x
4,amd athlon ii x3 450
4,intel xeon e5-2630l
4,intel pentium e2220
4,amd opteron 6212
4,amd athlon 64 x2 5200+
4,intel xeon e5-2673 v3
4,intel xeon e5-2673 v4
4,intel pentium g3240
4,intel xeon gold 5218
4,intel xeon e5-2687w v2
4,intel xeon e5-2687w v4
4,intel core 2 quad q9450
4,intel xeon e5-1660 v4
4,intel core i7-980x
4,amd fx-9370
4,amd a6-7400k
4,intel xeon e5-2698 v3
4,intel xeon e5620
4,amd fx-6120
4,intel xeon e5520
4,amd athlon x4 740
4,intel pentium pro
4,amd athlon 200ge
4,intel xeon e3-1280
4,intel xeon e3-1220 v6
4,amd a8-3800
4,intel xeon e3-1225 v2
4,intel xeon e3-1268l v3
4,intel xeon silver 4110
4,intel core i7-9700f
4,amd athlon 64 x2 6000+
4,amd 386dx
4,amd ryzen 5 3500x
4,intel xeon x5550
4,intel core i7-2640m
4,amd athlon ii x2 b24
4,amd a10-5800
4,intel core i7-3630qm
4,amd r5 3600
4,intel xeon x5355
4,intel core i7-3930k
4,intel core i7-3970x
4,intel core i7-4700mq
4,intel core i7-9700
4,intel xeon x3370
4,intel core i7-4785t
4,intel xeon w3670
4,intel xeon silver 4112
4,amd a4-3420
4,amd phenom ii x2 555
4,intel xeon e5-2637 v3
4,amd phenom x3 8400
4,amd a12-9800
4,intel core i7-7820x
4,amd phenom ii x4 960t
4,intel core i7-4810mq
4,intel xeon w3690
4,amd duron
3,intel xeon e5-2682 v4
3,intel xeon e5-2658 v3
3,intel xeon e5-440
3,intel xeon e5-4610
3,intel core i5-7400t
3,intel xeon e5-4627 v2
3,intel xeon e5-4650 v2
3,intel xeon x5667
3,intel xeon x5472
3,intel xeon w5580
3,intel xeon w-2123
3,intel xeon platinum 8156
3,intel xeon gold 6138
3,intel core i3-2330m
3,intel xeon gold 6132
3,intel xeon gold 6128
3,intel core i3-2350m
3,intel xeon e5-2650v4
3,intel xeon gold 5118
3,intel xeon e7-4860 v2
3,intel xeon e5649
3,intel core i3-3245
3,intel core i3-380m
3,intel xeon e5504
3,intel core i3-4130t
3,intel xeon e5345
3,intel xeon e5-2658
3,intel xeon e5-1603 v4
3,intel xeon e5-2650l v4
3,intel core i7-960
3,intel pentium g4400t
3,intel core i5-4210m
3,intel pentium e6600
3,intel pentium e6500
3,intel pentium e6300
3,intel i5 9400t
3,intel core i9-9980xe
3,intel core i9-10900k
3,intel core i7-970
3,intel core i5-4670s
3,intel core i5-4690s
3,intel pentium g4620
3,intel core i7-8086k
3,intel core i7-4800mq
3,intel core i7-4770s
3,intel core i7-4702mq
3,intel core i7-3840qm
3,intel core i7-2860qm
3,intel core i7-2700k
3,intel core i7-10700f
3,intel core i7 i7-10700k
3,intel core i5-680
3,intel pentium g4560t
3,intel pentium g645
3,intel xeon e5-2643 v4
3,intel core i5 2300
3,intel core i3-6098p
3,intel xeon e5-2603 v4
3,intel core i3-6100
3,intel xeon e5-2450l v2
3,intel xeon e5-2440v2
3,intel xeon e5-2440
3,intel xeon e5-2430l
3,intel xeon e5-1680 v3
3,intel xeon e5-1660 v3
3,intel core i5-7600
3,intel xeon e3-1275 v3
3,intel pentium g6950
3,intel xeon e3-1265l v3
3,intel xeon e3-1240 v3
3,intel xeon e3-1230 v3
3,intel xeon e3-1220l
3,intel xeon 5355
3,intel xeon 4110
3,intel pentium p6200
3,intel core i5-2550k
3,intel pentium g870
3,intel pentium g860
3,intel pentium g4600
3,amd  fx-4100
3,intel core i5-4310m
3,amd athlon 300u
3,amd fx-8370
3,amd athlon 64 x2 4200+
3,amd ryzen series r3-1200 r3-1300x
3,amd ryzen 9 5950x
3,amd ryzen 9 3900
3,intel core 2 duo 6300
3,amd athlon 64 3000+
3,amd opteron 2435
3,intel core 2 duo e6320
3,amd phenom ii x2 511
3,amd ryzen 7 3700u
3,amd am486dx2
3,amd opteron 6174
3,amd opteron 6180
3,intel core 2 duo t5600
3,amd ryzen 5 3500
3,amd ryzen 5 2400ge
3,amd a6-9500e
3,amd fx-8310
3,amd fx-8100/fx-8120/fx-8150
3,amd fx-4350
3,amd athlon ii 170u
3,amd e2-3200
3,amd epyc 7251
3,amd athlon x2 7550
3,amd r5 3600x
3,amd epyc 7351
3,amd epyc 7351p
3,amd sempron le-1200
3,amd athlon x2 3800+
3,amd athlon x2
3,amd epyc 7501
3,amd athlon ii x4 641
3,amd athlon ii x4 631
3,amd athlon ii x4 610e
3,amd athlon ii x3 440
3,amd athlon ii x2 b26
3,amd sempron 2500+
3,amd athlon ii p320
3,amd a6-6400
3,amd opteron 6128
3,amd phenom x3 8450
3,amd phenom ii x4 810
3,amd phenom ii x4 970
3,intel core 2 duo t8300
3,amd phenom ii x4 b95
3,amd a10-5800b
3,amd 7 3700x
3,amd phenom x4 9500
3,amd a6-3620
3,amd phenom ii x4 830
3,intel core 2 duo t9900
3,amd phenom ii x6
3,amd a6-3400m
3,amd phenom ii x3 b75
3,intel core 2 duo t7400
3,amd a12-9800e
3,amd a6-5350m
3,amd ryzen
2,intel xeon e-2124
2,amd epyc 7502p
2,intel xeon 6134
2,amd epyc 7451
2,amd epyc 7552
2,amd phenom x4 9600
2,amd epyc 7551p
2,intel xeon 6234
2,intel core i7-4790t
2,intel xeon 6242
2,intel xeon 7110m
2,amd epyc 7401p
2,amd phenom ii x2 521
2,intel core i7-4710mq
2,amd epyc 7352
2,intel core i7-3820qm
2,intel xeon e3-1246 v3
2,intel xeon e3-1245
2,intel xeon e3-1241 v3
2,intel xeon e3-1240l v5
2,intel xeon e3-1240 v6
2,intel xeon e3-1240
2,intel xeon e3-1235
2,intel core i7-3940xm
2,intel core i7-4765t
2,amd epyc 7272
2,intel xeon e3-1226 v3
2,amd processor
2,amd epyc 7302
2,intel core i7-4610m
2,amd pro a10-7850b
2,intel xeon 4208
2,intel core i7-4930mx
2,amd fx-4200
2,intel core i7-4940mx
2,intel i5-9400
2,intel core i7-860s
2,amd phenom ii x4 905e
2,amd opteron 6134
2,amd opteron 6164
2,amd opteron 6234
2,amd opteron 6238
2,intel i7-2710qe
2,intel i5-460m
2,amd phenom ii x4 910
2,intel core i9-9820x
2,intel core i9-7960x
2,intel core i9-7920x
2,intel core i9 10900k
2,amd phenom ii 521
2,intel core i7-875k
2,amd phenom ii x 6 1055t
2,intel xeon e3-1265l
2,amd opteron 4334
2,intel xeon 3040
2,intel core i7-5960x
2,intel xeon 3000dp
2,amd phenom x 4    9550
2,intel xeon  e5-1428l v2
2,amd epyc 7f52
2,intel core i7-940xm
2,intel pentium p6100
2,amd phenom x 4    9100e
2,amd fx-8140
2,intel core i7-7740x
2,intel core i7-620m
2,intel pentium g5400
2,intel pentium g3450
2,intel core i7-6900k
2,amd phenom ii x4 b97
2,intel pentium g3420
2,intel pentium g3260
2,intel xeon e3-1260l
2,amd athlon x2 5400+
2,amd athlon xp 2600+
2,intel xeon e3-1270 v3
2,amd a6-3410mx
